TRATAMIENTO,IMAGEN,PRECIO SESION,DESCRIPCION,CANTIDAD DE SESIONES,sesiones totales,DURACION SESION
Levanta y Reafirma Gluteos,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/XP8Kp8NvmiEGJPwFU9Jn.jpeg,11990,"🍑 Ritual Glúteos de Impacto – Método Crys 7T 🍑
• 	Tratamiento de 30 minutos enfocado en glúteos, diseñado para definir, tonificar y realzar tu figura.
• 	Combina técnicas profesionales: maderoterapia, drenaje, masoterapia, vacumterapia, copas de delfín, hieloterapia, imanes y aromaterapia, potenciadas con un batidetox para cuidar tu cuerpo desde adentro.
• 	Incluye asesoría dietética personalizada, evaluación y fotos antes y después, garantizando resultados visibles y medibles.
• 	Ideal para quienes buscan un cambio estético efectivo y seguro, acompañado de relajación y bienestar.
💲 Valores accesibles:
• 	1 sesión: $11.990

📲 Reserva tu cita en Linda Mamá Spa Antofagasta y transforma tu confianza con el respaldo del Método Crys 7T.",1,,
Rejuvenecimiento Facial,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/BEK2STWekvJvYKYmsqz7.png,34990,"✨ Ritual Rejuvenecimiento Facial – Método Crys 7T ✨
• 	Tratamiento de 90 minutos enfocado en el rostro, diseñado para rejuvenecer, tensar y revitalizar la piel.
• 	Combina técnicas profesionales: masaje reductor moldeador, maderoterapia, limpieza facial profunda, radiofrecuencia facial y contorno de ojos, corriente galvánica, aromaterapia e imanes, potenciadas con un batidetox para cuidar tu piel desde adentro.
• 	Incluye asesoría de cuidados personalizados y fotos antes y después, garantizando resultados visibles y medibles.
• 	Ideal para quienes buscan una piel más luminosa, firme y saludable, con un método innovador y seguro.
💆‍♀️ Valores accesibles:
• 	1 visita: $34.990

📲 Reserva tu cita en Linda Mamá Spa Antofagasta y descubre cómo el Método Crys 7T transforma tu piel y tu confianza.
",1,,
Moxibustion,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/iNHcSsDcnj6wycE7Je1x.png,19990,"🔥 Ritual Moxibustión – Método Crys 7T 🔥
• 	Tratamiento de 35 minutos enfocado en puntos específicos de dolor, ideal para aliviar tensiones y equilibrar la energía.
• 	Combina técnicas exclusivas: masaje con piedra caliente, aromaterapia, imanes terapéuticos y cuencos tibetanos, potenciadas con un batido regenerante para complementar la experiencia.
• 	Una terapia ancestral que ayuda a reducir molestias musculares, mejorar la circulación y promover bienestar físico y emocional.
💆‍♀️ Valores accesibles:
• 	1 sesión: $19.990

📲 Reserva tu cita en Linda Mamá Spa Antofagasta y descubre cómo el Método Crys 7T transforma tu cuerpo y tu energía con la magia de la moxibustión.",1,,
Reflexologia podal,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/jSMzXzCs2AmBqoa9LBnP.png,14990,"🌿 Ritual Reflexología Podal – Método Crys 7T 🌿
• 	Tratamiento de 35 minutos enfocado en pies y pantorrillas.
• 	Combina técnicas exclusivas: acupresión manual, bamboterapia, imanes terapéuticos, limpieza energética, cuencos tibetanos y aromaterapia, potenciadas con un batidetox para el estrés.
• 	Ideal para quienes buscan relajar profundamente, mejorar la circulación y equilibrar la energía del cuerpo a través de la reflexología.
• 	Una experiencia única que conecta bienestar físico y emocional en un ambiente profesional y acogedor.
💆‍♀️ Valores accesibles:
• 	1 sesión: $14.990

📲 Reserva tu cita en Linda Mamá Spa Antofagasta y descubre cómo el Método Crys 7T revitaliza tu cuerpo desde los pies hacia todo tu ser.
Piedra calientes 
Bambuterapia
Martillo terapuetico 
Acupresiones 
Batido",1,,
Masaje Dorsal,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/iU9hLjnb2Blajpl0wCjc.jpeg,19990,"✨ Ritual Terapéutico Dorsal – Método Crys 7T ✨
• 	Tratamiento de 30 minutos enfocado en cuello, espalda, hombros y cabeza.
• 	Combina técnicas exclusivas: drenaje, piedras calientes, martillo terapéutico, cuencos tibetanos, ventosas chinas, bambuterapia, imanes y aromaterapia, potenciadas con un batidetox para liberar el estrés.
• 	Incluye un ritual complementario con yerbas terapéuticas, creando una experiencia única de relajación profunda y equilibrio energético.
• 	Ideal para quienes sufren de tensión cervical, estrés acumulado o dolores de espalda, ofreciendo alivio inmediato y bienestar duradero.
💆‍♀️ Valores accesibles:
• 	1 sesión: $19.990

📲 Reserva tu momento de bienestar en Linda Mamá Spa Antofagasta y descubre cómo el Método Crys 7T transforma tu cuerpo y tu energía.",1,,
Masaje Relajante Drenante Descontracturante,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/EZBeVVb12aa3SN1M35vS.jpeg,27990,"✨ Ritual Terapéutico Mixto – Método Crys 7T ✨
• 	Un tratamiento integral de 60 minutos que trabaja cuerpo completo: espalda, piernas, brazos, hombros y pies.
• 	Combina técnicas exclusivas como drenaje, piedras calientes, martillo terapéutico, cuencos tibetanos, ventosas chinas, bambuterapia, imanes y aromaterapia, potenciadas con un batidetox para liberar el estrés.
• 	Incluye un ritual complementario con yerbas terapéuticas, creando una experiencia única de relajación y equilibrio.
• 	Ideal para quienes buscan reducir tensiones, mejorar circulación, drenar líquidos y revitalizar cuerpo y mente.
💆‍♀️ Valores accesibles:
• 	1 sesión: $27.990
📲 Reserva tu momento de bienestar en Linda Mamá Spa Antofagasta y descubre cómo el Método Crys 7T transforma tu energía y tu cuerpo.",1,,60 min
Metodo7t,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/K1F61sGZ9Ug6xdlQ4dOz.jpeg,29990,"🔥 Ritual Reductivo Moldeador – Método Crys 7T 🔥
• 	Tratamiento integral de 90 minutos que trabaja abdomen, cintura, espalda, piernas, glúteos, brazos y hombros.
• 	Técnicas combinadas: maderoterapia, hieloterapia, aparatología reductiva, masoterapia, vacumterapia, imanes y aromaterapia, potenciadas con un batidetox para resultados visibles y energizantes.
• 	Incluye asesoría dietética personalizada y evaluación antes y después, garantizando un proceso seguro y efectivo.
• 	Ideal para quienes buscan moldear su figura, reducir medidas y mejorar la circulación, todo en un ambiente profesional y relajante.
💲 Valores promocionales:
• 	1 sesión: $29.990
📲 Reserva tu tratamiento en Linda Mamá Spa Antofagasta y transforma tu cuerpo con el respaldo del Método Crys 7T.",1,,
Ojeras,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/4tyDmqao6lsPAp5NBYVJ.png,44990,"✨ Ritual Carboxiterapia Facial – Método Crys 7T ✨
• 	Tratamiento especializado para ojeras, párpados caídos, surcos nasogenianos, líneas de frente y papada.
• 	Incluye técnicas profesionales: limpieza básica, aplicación de carboxiterapia en la zona elegida, drenaje manual y galvánica facial, complementadas con un batido de colágeno para potenciar resultados desde adentro.
• 	Con evaluación y fotos antes y después, garantizamos un proceso seguro y visible.
• 	Ideal para quienes buscan rejuvenecer, tensar y revitalizar el rostro con un método innovador y no invasivo.
💆‍♀️ Valores accesibles:
• 	1 visita: $44.990

• 	Cada sesión incluye 12 infiltraciones en la zona tratada.
📲 Reserva tu cita en Linda Mamá Spa Antofagasta y descubre cómo el Método Crys 7T transforma tu piel y tu confianza.
",1,,
Masajes Post-quirurgico,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/Ac9hJz6vtg1x3tvnYEJF.jpeg,24990,"✨ Esquema Post Quirúrgicos – Método Crys 7T ✨
• 	Tratamiento especializado de 60 minutos enfocado en la zona intervenida.
• 	Incluye técnicas profesionales: drenaje linfático, eliminación de líquidos retenidos, ultrasonido, imanes y aromaterapia, junto con carboxiterapia y un batido regenerante desinflamante para acelerar la recuperación.
• 	Complementado con tips de cuidado y alimentación saludable, ofreciendo un acompañamiento integral en tu proceso post operatorio.
• 	Ideal para quienes buscan una recuperación más rápida, segura y con resultados visibles en reducción de inflamación y bienestar general.
💆‍♀️ Valores accesibles:
• 	1 sesión: $24.990

📲 Reserva tu tratamiento en Linda Mamá Spa Antofagasta y vive un proceso post quirúrgico con el respaldo del Método Crys 7T, diseñado para cuidar tu cuerpo y tu energía.",1,,
Limpieza Facial Profunda,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/QHnRf6hlyWWyq0BEQahz.png,27990,"✨ Ritual Limpieza Facial Profunda – Método Crys 7T ✨
• 	Tratamiento de 60 minutos enfocado en rostro, nariz y papada.
• 	Incluye técnicas profesionales: higienización, vaporizador, exfoliación, ultrasonido, extracción manual de impurezas, microdermoabrasión, máscaras nutritivas y led, hidratación y protector solar.
• 	Complementado con un batidetox nutricional con colágeno, para cuidar tu piel desde adentro.
• 	Ideal para quienes buscan una piel más limpia, luminosa y saludable, con resultados visibles desde la primera sesión.
💆‍♀️ Valores accesibles:
• 	1 sesión: $27.990
📲 Reserva tu cita en Linda Mamá Spa Antofagasta y disfruta de un cuidado facial profundo que revitaliza tu piel y tu energía.",1,,60 min
Levantamiento de Gluteos ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/Js7BH5E7OnFZwvJkpe7h.jpeg,11990,"🍑 Levantamiento de Glúteos – Linda Mamá Spa 🍑
• 	Tratamiento no invasivo para realzar, tonificar y definir tu figura.
• 	Incluye técnicas combinadas: plata vibratoria, masoterapia, maderoterapia, vacunterapia, electrodos, copas de delfín e hieloterapia, potenciadas con un batidetox nutricional para cuidar tu cuerpo desde adentro.
• 	Ideal para quienes buscan resultados visibles en firmeza y contorno, acompañado de una experiencia relajante y profesional.
💲 Valor promocional: $11.990 por sesión.
📲 Reserva tu cita en Linda Mamá Spa Antofagasta y disfruta de un tratamiento que transforma tu energía y tu confianza.
",1,,
Levanta y Reafirma Gluteos,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/XP8Kp8NvmiEGJPwFU9Jn.jpeg,11990,"🍑 Ritual Glúteos de Impacto – Método Crys 7T 🍑
• 	Tratamiento de 30 minutos enfocado en glúteos, diseñado para definir, tonificar y realzar tu figura.
• 	Combina técnicas profesionales: maderoterapia, drenaje, masoterapia, vacumterapia, copas de delfín, hieloterapia, imanes y aromaterapia, potenciadas con un batidetox para cuidar tu cuerpo desde adentro.
• 	Incluye asesoría dietética personalizada, evaluación y fotos antes y después, garantizando resultados visibles y medibles.
• 	Ideal para quienes buscan un cambio estético efectivo y seguro, acompañado de relajación y bienestar.
💲 Valores accesibles:
• 	1 sesión: $11.990
📲 Reserva tu cita en Linda Mamá Spa Antofagasta y transforma tu confianza con el respaldo del Método Crys 7T.",1,,
Rejuvenecimiento Facial,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/BEK2STWekvJvYKYmsqz7.png,34990,"✨ Ritual Rejuvenecimiento Facial – Método Crys 7T ✨
• 	Tratamiento de 90 minutos enfocado en el rostro, diseñado para rejuvenecer, tensar y revitalizar la piel.
• 	Combina técnicas profesionales: masaje reductor moldeador, maderoterapia, limpieza facial profunda, radiofrecuencia facial y contorno de ojos, corriente galvánica, aromaterapia e imanes, potenciadas con un batidetox para cuidar tu piel desde adentro.
• 	Incluye asesoría de cuidados personalizados y fotos antes y después, garantizando resultados visibles y medibles.
• 	Ideal para quienes buscan una piel más luminosa, firme y saludable, con un método innovador y seguro.
💆‍♀️ Valores accesibles:
• 	1 visita: $34.990
📲 Reserva tu cita en Linda Mamá Spa Antofagasta y descubre cómo el Método Crys 7T transforma tu piel y tu confianza.
",1,,
