TRATAMIENTO,CANTIDAD SESIONES,IMAGEN,PRECIO SESION,DESCRIPCION
 Pack Levanta y Reafirma Glúteos 1,7 sesiones,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/0lrdbKF6upf4VWEvg9p1.jpeg,64990,"🍑 Ritual Glúteos de Impacto – Método Crys 7T 🍑
• 	Tratamiento de 30 minutos enfocado en glúteos, diseñado para definir, tonificar y realzar tu figura.
• 	Combina técnicas profesionales: maderoterapia, drenaje, masoterapia, vacumterapia, copas de delfín, hieloterapia, imanes y aromaterapia, potenciadas con un batidetox para cuidar tu cuerpo desde adentro.
• 	Incluye asesoría dietética personalizada, evaluación y fotos antes y después, garantizando resultados visibles y medibles.
• 	Ideal para quienes buscan un cambio estético efectivo y seguro, acompañado de relajación y bienestar.
💲 Valores accesibles:
• 	Pack de 7 sesiones: $64.990
📲 Reserva tu cita en Linda Mamá Spa Antofagasta y transforma tu confianza con el respaldo del Método Crys 7T."
 Pack Levanta y Reafirma Glúteos 2,14 sesiones,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/uks7YXCIjllBwyiDb3Qk.jpeg,149990,"🍑 Ritual Glúteos de Impacto – Método Crys 7T 🍑
• 	Tratamiento de 30 minutos enfocado en glúteos, diseñado para definir, tonificar y realzar tu figura.
• 	Combina técnicas profesionales: maderoterapia, drenaje, masoterapia, vacumterapia, copas de delfín, hieloterapia, imanes y aromaterapia, potenciadas con un batidetox para cuidar tu cuerpo desde adentro.
• 	Incluye asesoría dietética personalizada, evaluación y fotos antes y después, garantizando resultados visibles y medibles.
• 	Ideal para quienes buscan un cambio estético efectivo y seguro, acompañado de relajación y bienestar.
💲 Valores accesibles:
• 	Pack de 14 sesiones: $149.990
📲 Reserva tu cita en Linda Mamá Spa Antofagasta y transforma tu confianza con el respaldo del Método Crys 7T."
Pack Rejuvenecimiento Facial,7 sesiones,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/rbsS8OA6kN0X23vMXWCk.png,199990,"✨ Ritual Rejuvenecimiento Facial – Método Crys 7T ✨
• 	Tratamiento de 90 minutos enfocado en el rostro, diseñado para rejuvenecer, tensar y revitalizar la piel.
• 	Combina técnicas profesionales: masaje reductor moldeador, maderoterapia, limpieza facial profunda, radiofrecuencia facial y contorno de ojos, corriente galvánica, aromaterapia e imanes, potenciadas con un batidetox para cuidar tu piel desde adentro.
• 	Incluye asesoría de cuidados personalizados y fotos antes y después, garantizando resultados visibles y medibles.
• 	Ideal para quienes buscan una piel más luminosa, firme y saludable, con un método innovador y seguro.
💆‍♀️ Valores accesibles:
• 	Pack de 7 visitas: $199.990
📲 Reserva tu cita en Linda Mamá Spa Antofagasta y descubre cómo el Método Crys 7T transforma tu piel y tu confianza.
"
Pack Moxibustion,3 sesiones,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/oYUGgPjGoIHjByTlL9Ic.png,49990,"🔥 Ritual Moxibustión – Método Crys 7T 🔥
• 	Tratamiento de 35 minutos enfocado en puntos específicos de dolor, ideal para aliviar tensiones y equilibrar la energía.
• 	Combina técnicas exclusivas: masaje con piedra caliente, aromaterapia, imanes terapéuticos y cuencos tibetanos, potenciadas con un batido regenerante para complementar la experiencia.
• 	Una terapia ancestral que ayuda a reducir molestias musculares, mejorar la circulación y promover bienestar físico y emocional.
💆‍♀️ Valores accesibles:
• 	Pack de 3 sesiones: $49.990
📲 Reserva tu cita en Linda Mamá Spa Antofagasta y descubre cómo el Método Crys 7T transforma tu cuerpo y tu energía con la magia de la moxibustión."
Pack Reflexologia podal,3 sesiones,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/c3G24tsESSdY82YoGS52.png,39990,"🌿 Ritual Reflexología Podal – Método Crys 7T 🌿
• 	Tratamiento de 35 minutos enfocado en pies y pantorrillas.
• 	Combina técnicas exclusivas: acupresión manual, bamboterapia, imanes terapéuticos, limpieza energética, cuencos tibetanos y aromaterapia, potenciadas con un batidetox para el estrés.
• 	Ideal para quienes buscan relajar profundamente, mejorar la circulación y equilibrar la energía del cuerpo a través de la reflexología.
• 	Una experiencia única que conecta bienestar físico y emocional en un ambiente profesional y acogedor.
💆‍♀️ Valores accesibles:
• 	Pack de 3 sesiones: $39.990
📲 Reserva tu cita en Linda Mamá Spa Antofagasta y descubre cómo el Método Crys 7T revitaliza tu cuerpo desde los pies hacia todo tu ser.
Piedra calientes 
Bambuterapia
Martillo terapuetico 
Acupresiones 
Batido"
Pack Masaje Dorsal,3 sesiones,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/81deapyO6KhtExCHiq6L.jpeg,49990,"✨ Ritual Terapéutico Dorsal – Método Crys 7T ✨
• 	Tratamiento de 30 minutos enfocado en cuello, espalda, hombros y cabeza.
• 	Combina técnicas exclusivas: drenaje, piedras calientes, martillo terapéutico, cuencos tibetanos, ventosas chinas, bambuterapia, imanes y aromaterapia, potenciadas con un batidetox para liberar el estrés.
• 	Incluye un ritual complementario con yerbas terapéuticas, creando una experiencia única de relajación profunda y equilibrio energético.
• 	Ideal para quienes sufren de tensión cervical, estrés acumulado o dolores de espalda, ofreciendo alivio inmediato y bienestar duradero.
💆‍♀️ Valores accesibles:
• 	Pack de 3 sesiones: $49.990
📲 Reserva tu momento de bienestar en Linda Mamá Spa Antofagasta y descubre cómo el Método Crys 7T transforma tu cuerpo y tu energía."
Pack Masaje Relajante Drenante Descontracturante,3 sesiones,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/ANKHZGwmECgHYYOk44Om.jpeg,69990,"✨ Ritual Terapéutico Mixto – Método Crys 7T ✨
• 	Un tratamiento integral de 60 minutos que trabaja cuerpo completo: espalda, piernas, brazos, hombros y pies.
• 	Combina técnicas exclusivas como drenaje, piedras calientes, martillo terapéutico, cuencos tibetanos, ventosas chinas, bambuterapia, imanes y aromaterapia, potenciadas con un batidetox para liberar el estrés.
• 	Incluye un ritual complementario con yerbas terapéuticas, creando una experiencia única de relajación y equilibrio.
• 	Ideal para quienes buscan reducir tensiones, mejorar circulación, drenar líquidos y revitalizar cuerpo y mente.
💆‍♀️ Valores accesibles:
• 	Pack de 3 sesiones: $69.990📲 Reserva tu momento de bienestar en Linda Mamá Spa Antofagasta y descubre cómo el Método Crys 7T transforma tu energía y tu cuerpo."
Pack Metodo7t 1,7 sesiones,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/BwkC2k2Qwh567fZ7SNFn.jpeg,199990,"🔥 Ritual Reductivo Moldeador – Método Crys 7T 🔥
• 	Tratamiento integral de 90 minutos que trabaja abdomen, cintura, espalda, piernas, glúteos, brazos y hombros.
• 	Técnicas combinadas: maderoterapia, hieloterapia, aparatología reductiva, masoterapia, vacumterapia, imanes y aromaterapia, potenciadas con un batidetox para resultados visibles y energizantes.
• 	Incluye asesoría dietética personalizada y evaluación antes y después, garantizando un proceso seguro y efectivo.
• 	Ideal para quienes buscan moldear su figura, reducir medidas y mejorar la circulación, todo en un ambiente profesional y relajante.
💲 Valores promocionales:
• 	Pack de 7 sesiones: $199.990
📲 Reserva tu tratamiento en Linda Mamá Spa Antofagasta y transforma tu cuerpo con el respaldo del Método Crys 7T."
Pack Metodo7t 2,13 sesiones,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/YxJNxTE4e4aYToWFCOdp.jpeg,379990,"🔥 Ritual Reductivo Moldeador – Método Crys 7T 🔥
• 	Tratamiento integral de 90 minutos que trabaja abdomen, cintura, espalda, piernas, glúteos, brazos y hombros.
• 	Técnicas combinadas: maderoterapia, hieloterapia, aparatología reductiva, masoterapia, vacumterapia, imanes y aromaterapia, potenciadas con un batidetox para resultados visibles y energizantes.
• 	Incluye asesoría dietética personalizada y evaluación antes y después, garantizando un proceso seguro y efectivo.
• 	Ideal para quienes buscan moldear su figura, reducir medidas y mejorar la circulación, todo en un ambiente profesional y relajante.
💲 Valores promocionales:
• 	Pack de 13 sesiones: $379.990
📲 Reserva tu tratamiento en Linda Mamá Spa Antofagasta y transforma tu cuerpo con el respaldo del Método Crys 7T."
Pack Ojeras,3 sesiones,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/QuDOKnDBzmKQNpQbJS5y/pub/mKdLjCBJSYpaSmfqIlzH.png,99990,"✨ Ritual Carboxiterapia Facial – Método Crys 7T ✨
• 	Tratamiento especializado para ojeras, párpados caídos, surcos nasogenianos, líneas de frente y papada.
• 	Incluye técnicas profesionales: limpieza básica, aplicación de carboxiterapia en la zona elegida, drenaje manual y galvánica facial, complementadas con un batido de colágeno para potenciar resultados desde adentro.
• 	Con evaluación y fotos antes y después, garantizamos un proceso seguro y visible.
• 	Ideal para quienes buscan rejuvenecer, tensar y revitalizar el rostro con un método innovador y no invasivo.
💆‍♀️ Valores accesibles:
• 	Pack de 3 visitas: $99.990
• 	Cada sesión incluye 12 infiltraciones en la zona tratada.
📲 Reserva tu cita en Linda Mamá Spa Antofagasta y descubre cómo el Método Crys 7T transforma tu piel y tu confianza.
"
